0.11797,8.5743
0.11804,8.5546
0.12703,6.7816
0.14189,4.5952
0.15873,3.2248
0.1757,2.5102
0.1914,2.1176
0.20588,1.8724
0.22114,1.6802
0.23542,1.5297
0.24838,1.4408
0.26275,1.3701
0.27605,1.3154
0.29015,1.2738
0.30304,1.2443
0.31387,1.2147
0.32598,1.1871
0.33661,1.1699
0.34747,1.1535
0.35782,1.1394
0.36923,1.1293
0.37903,1.1155
0.38939,1.1069
0.39842,1.1008
0.40757,1.0943
0.41656,1.0873
0.42599,1.0801
0.43512,1.0744
0.44324,1.0689
0.45194,1.064
0.4603,1.0598
0.46709,1.056
0.47883,1.0516
0.48407,1.0505
0.4951,1.0468
0.50331,1.0438
0.50955,1.0429
0.51899,1.04
0.52564,1.0391
0.531,1.0381
0.54046,1.0363
0.54926,1.034
0.55513,1.0335
0.56339,1.0316
0.57207,1.0294
0.58013,1.0277
0.58296,1.0276
0.58927,1.0271
0.60548,1.0245
0.6072,1.0245
0.60892,1.0245
0.62158,1.0228
0.63127,1.0211
0.63563,1.021
0.64208,1.0204
0.65196,1.0196
0.66203,1.0182
0.67294,1.017
0.67921,1.0166
0.68633,1.0162
0.69984,1.0145
0.7069,1.014
0.71978,1.0136
0.72706,1.0134
0.74278,1.0119
0.75087,1.0114
0.76168,1.0111
0.77967,1.0101
0.79238,1.0095
0.81062,1.0091
0.82394,1.0084
0.83675,1.0083
0.85738,1.0075
0.88409,1.0065
0.88819,1.0065
0.90715,1.0061
0.9389,1.0055
0.96732,1.0047
0.98564,1.0046
1.0103,1.004
1.0476,1.0037
1.0746,1.0033
1.1228,1.0027
1.1574,1.0025
1.186,1.0023
1.247,1.0017
1.2837,1.0016
1.3549,1.0013
1.405,1.0012
1.4991,1.0008
1.5721,1.0007
1.6439,1.0006
1.7962,1.0004
1.9677,1.0003
2.1796,1.0002
2.4334,1.0001
2.7519,1.0001
3.1665,1.0001
3.8682,1.0001
4.2078,1.0001
