0.13554,10.905
0.13635,10.72
0.14905,8.5397
0.14942,8.4931
0.15018,8.4007
0.15086,8.3297
0.15762,7.5074
0.17494,5.8195
0.1844,4.8685
0.21765,3.6392
0.23454,3.0067
0.24871,2.7457
0.28981,2.165
0.32595,1.7792
0.33952,1.6772
0.38102,1.453
0.40227,1.389
0.44869,1.2711
0.48318,1.21
0.50553,1.1811
0.5434,1.1329
0.59868,1.0901
0.62243,1.0758
0.64627,1.0648
0.66101,1.06
0.70362,1.0466
0.74786,1.0354
0.8301,1.0227
0.90403,1.0151
1.0228,1.0082
1.0534,1.0069
1.0868,1.0058
1.1219,1.0051
1.1316,1.005
1.2207,1.0032
1.2747,1.0027
1.5565,1.001
1.8813,1.0004
1.9039,1.0004
2.2586,1.0002
2.6979,1
